Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 3,400000; 4,3;0,63770422; 4,34;  8,984955; 11,44; 2,6;4;3;4;0; 85; 93
 3,000000; 4,0;0,71180522; 2,73;  9,566150; 12,18; 2,1;5;5;3;0; 84; 91
 4,366667; 6,4;1,67398394; 3,11;  9,330530; 11,88; 2,2;5;5;2;0; 74;105
 3,766667; 4,7;1,11455023; 2,34; 23,561945; 30,00; 3,0;5;5;2;0; 81; 98
 7,533333; 9,5;2,50377493; 5,39; 54,340000; 64,68; 4,4;2;2;1;0; 78;111
 6,100000; 8,7;2,12289111; 6,53;  6,754424;  8,60; 2,0;3;3;2;0; 78; 94
 4,966667; 6,9;1,59234279; 6,43; 12,095132; 15,40; 2,0;1;1;0;0; 49;130
 7,366667; 8,0;0,44969125;21,41; 98,770000;136,95; 8,3;5;5;3;1; 80; 95
 6,666667;10,7;2,87556758;13,21; 49,470000; 54,06; 5,1;5;5;3;0; 85; 95
 7,833333;10,0;1,98718114; 8,92;155,135000;175,37; 7,1;5;5;2;0; 70;121
 5,333333; 7,2;1,69377947; 4,50; 50,960000; 62,72; 4,9;5;5;3;0; 69;110
 4,466667; 4,8;0,33993463; 5,67; 27,540000; 32,30; 3,4;5;5;2;1; 79;110
 4,433333; 5,0;0,41899350; 6,17; 36,960000; 40,74; 4,2;5;5;3;1; 90; 91
 6,866667; 8,0;0,89938250; 8,85; 16,720000; 33,44; 4,4;5;5;3;2; 79; 92
 3,733333; 5,2;1,11455023; 3,42; 33,345000; 39,00; 3,9;5;5;2;1; 89; 91
10,766667;11,9;0,81785628;35,48; 53,040000; 59,16; 5,1;5;5;4;1; 85; 97
14,133333;15,7;1,74419673;34,59;109,755000;160,38; 8,1;5;5;4;0; 88; 98
10,166667;15,4;4,06147209;14,93; 66,480000; 91,68; 4,8;5;5;2;0; 70;100
 6,100000; 7,8;1,63095064; 4,04; 26,350000; 33,66; 3,4;5;5;1;0; 85;101
 3,733333; 4,0;0,24944383; 3,84; 46,800000; 63,90; 4,5;5;5;3;0; 78;104
 3,366667; 4,0;0,57927157; 3,79; 13,194689; 16,80; 2,8;5;5;3;1; 81; 95
 3,266667; 4,1;0,65489609; 2,22; 17,561503; 22,36; 4,3;5;5;2;1; 75;106
 4,300000; 4,9;0,43204938; 3,89;  9,236282; 11,76; 2,4;5;5;3;1; 79;100
 9,333333;11,3;1,99387952;34,47;165,135000;330,27;10,1;5;5;6;0; 85; 95
13,233333;14,9;1,27627931;59,07;434,717883;553,50;13,5;5;5;5;0; 83;106
 9,400000;11,8;1,72819752;21,01;122,650000;245,30;11,0;5;5;3;0; 70; 98
 5,933333; 6,6;0,74087036; 6,94; 12,000000; 24,00; 3,0;5;5;3;0; 71;115
 4,833333; 6,3;1,42672897; 6,87; 16,000000; 32,00; 4,0;5;5;2;0; 75;110
 9,833333;16,3;5,14932574;15,05; 44,485000; 57,66; 3,1;5;5;2;0; 55;121
 5,900000; 7,5;1,30639453; 5,22; 35,280000; 70,56; 4,8;5;5;2;1; 89; 94
 5,700000; 7,5;1,36381817; 8,51;  7,068583;  9,00; 2,0;5;5;3;1; 75;100
 9,833333;12,5;3,77123617;15,48;  8,855000; 17,71; 2,3;5;5;3;0; 74;108
14,233333;17,0;3,04010234;39,59; 30,720000; 17,28; 4,8;5;5;4;0; 99;106
 5,433333; 7,6;1,84089350;10,02; 31,400000; 22,40; 4,0;5;5;2;0; 76; 94
 4,500000; 5,9;1,23288280; 6,39; 35,245000; 70,49; 5,3;5;5;2;1; 71;103
 5,433333; 8,1;2,16384432; 9,07; 58,320000; 35,64; 5,4;5;5;2;0; 75;111
 4,233333; 6,6;1,88030730; 3,71; 17,850000; 35,70; 4,2;5;5;2;0; 72;100
 3,300000; 5,3;1,45143607; 4,81;101,700000;203,40; 9,0;5;5;2;0; 75;109
 4,333333; 5,9;1,30724477; 4,19; 50,085000;100,17; 6,3;5;5;2;1; 85; 92
 7,233333; 8,8;1,56276109;12,23; 14,333516; 18,25; 2,5;5;5;3;0; 87; 99
 9,166667;11,2;1,71723292;19,50; 61,072561; 77,76; 5,4;4;3;3;0; 82;105
 7,300000; 9,3;1,98158186; 8,83; 19,055000; 38,11; 3,7;4;3;3;0; 75; 98
 5,233333; 7,2;1,88030730;16,46; 40,920000; 81,84; 6,2;5;5;4;0; 85; 97
 7,633333; 8,9;0,98432154;37,42; 41,245000; 82,49; 7,3;4;3;7;1; 84; 95
 8,533333;11,1;2,16692306;28,59; 49,855000; 99,71; 5,9;4;3;3;0; 75;105
 5,133333; 6,0;0,69442222; 7,00; 48,694686; 62,00; 4,0;5;5;5;0; 88; 95
 4,400000; 6,6;1,75689119; 5,55; 41,565000; 83,13; 5,1;5;5;4;0; 86; 94
